Speed,q,p
1150,93.34,1147800
1148,93.34,1145901.517
1145,93.38,1143621.707
1147,93.34,1146130.167
1149,93.34,1146889.272
1146,93.34,1144832.179
1144,93.42,1143676.388
1148,93.42,1145929.19
1148,93.38,1145889.687
1144,93.4,1143672.86
1145,93.46,1144674.327
1146,93.42,1145908.08
1145,93.48,1144377.883
1144,93.44,1143621.659
1145,93.42,1145108.245
1143,93.48,1143578.103
1142,93.52,1142310.609
1145,93.52,1144513.38
1143,93.46,1144756.521
1139,93.56,1141418.626
1142,93.56,1143400.267
1144,93.52,1144889.18
1140,93.56,1142090.755
1142,93.6,1142437.766
1144,93.5,1144454.085
1139,93.6,1142668.314
1138,93.68,1141385.822
1143,93.56,1144383.845
1142,93.56,1143650.167
1136,93.66,1140089.519
1138,93.72,1141243.164
1142,93.6,1144143.582
1138,93.64,1141541.146
1136,93.74,1140387.195
1141,93.7,1143310.255
1140,93.64,1142744.144
1136,93.72,1139981.492
1137,93.74,1141201.421
1140,93.68,1142690.412
1133,93.72,1139161.342
1134,93.84,1139187.665
1139,93.7,1142343.488
1134,93.8,1139302.838
1133,93.84,1138114.126
1137,93.78,1141581.314
1135,93.84,1139886.866
1132,93.86,1138475.058
1134,93.82,1140072.904
1133,93.84,1139470.609
1132,93.9,1138200
1133,93.92,1139147.818
1136,93.9,1140727.046
1132,93.94,1139141.603
1130,94,1137548.454
1133,93.94,1139200
1130,93.96,1138178.981
1130,94.04,1137640.141
1135,93.96,1141696.874
1133,94.02,1143249.746
1127,94.16,1140200
1130,94.2,1142381.716
1134,94.14,1144599.697
1129,94.2,1140781.897
1127,94.28,1139145.466
1133,94.2,1141071.818
1131,94.24,1140800.232
1125,94.38,1137018.306
1128,94.44,1140127.283
1130,94.34,1140145.374
1127,94.48,1139091.396
1128,94.54,1139271.334
1130,94.48,1142364.465
1127,94.48,1138673.651
1127,94.46,1136727.076
1129,94.38,1139599.216
1126,94.4,1140583.267
1125,94.58,1139218.152
1130,94.52,1140942.921
1127,94.46,1136797.335
1125,94.6,1135310.908
1129,94.42,1139347.501
1127,94.42,1141088.645
1124,94.62,1139164.135
1127,94.64,1141038.037
1128,94.66,1142035.219
1123,94.78,1138980.625
1123,94.96,1139093.081
1129,94.82,1142691.417
1125,94.82,1140649.503
1120,95.08,1137220.007
1124,95.02,1140457.214
1126,94.88,1145914.414
1122,95.22,1150781.515
1124,95.9,1152148.349
1125,96.14,1154471.917
1121,96.54,1151964.049
1121,96.92,1151543.124
1125,96.88,1154018.882
1122,97,1152636.874
1122,97.24,1153162.67
1124,97.22,1154618.797
1122,97.2,1152873.569
1121,97.34,1152689.65
1124,97.38,1155035.715
1123,97.26,1154347.807
1118,97.42,1151800
1122,97.5,1153542.6
1124,97.3,1154784.926
1118,97.5,1151454.733
1121,97.5,1152871.02
1124,97.3,1154565.399
1118,97.48,1151818.822
1119,97.56,1152252.046
1123,97.34,1154218.24
1118,97.42,1151961.714
1118,97.6,1151110.518
1123,97.44,1153836.895
1119,97.4,1152851.761
1115,97.66,1151911.156
1121,97.66,1156911.014
1124,97.64,1158253.045
1118,97.86,1155580.612
1118,98.16,1155547.414
1121,98,1159327.805
1118,98.22,1160527.277
1119,98.52,1161200.587
1121,98.48,1161872.119
1117,98.82,1160381.76
1118,98.88,1161091.415
1121,98.7,1162636.002
1118,98.94,1160981.411
1116,99.1,1160000.694
1121,98.92,1162346.445
1121,98.86,1162908.663
1115,99.08,1160054.169
1118,99.12,1160584.18
1123,98.86,1163599.671
1116,98.98,1160598.626
1116,99.22,1159764.871
1122,98.96,1163200
1118,98.94,1161821.346
1117,99.16,1160634.302
1121,99.1,1164106.262
1118,99,1164221.821
1118,99.16,1161125.887
1121,99.14,1162762.906
1121,99.08,1164125.931
1118,99.24,1165472.582
1120,99.3,1165164.723
1121,99.22,1163600.523
1118,99.3,1161253.842
1120,99.34,1163383.538
1124,99.06,1169053.658
1118,99.18,1164341.812
1119,99.36,1160964.164
1124,99.14,1164254.483
