Speed,q,p
672,33.86,520856
690,34.16,529743
708,33.76,535460
693,32.90,524922
677,32.62,516820
693,32.48,522854
704,31.04,520678
698,29.60,511067
693,26.90,497585
695,20.99,473227
694,14.65,448875
687,8.36,429829
671,5.02,414444
658,8.15,416637
706,3.36,421522
710,1.94,415729
686,1.46,405029
669,1.28,398361
683,1.66,404771
690,0.62,402281
681,0.46,398715
678,0.34,397254
673,0.24,395561
666,1.62,398522
674,2.66,405966
676,0.19,396137
656,5.35,407960
662,13.90,434023
676,3.73,411243
658,7.92,415954
660,17.71,446384
674,12.08,434284
668,10.27,426821
665,14.19,435971
669,16.80,446762
664,14.84,437732
648,25.43,472359
673,28.38,495190
651,20.81,454597
648,35.80,520867
677,34.11,524173
660,27.58,486215
652,36.52,525989
675,34.87,527097
672,32.43,513573
667,34.84,523624
671,34.80,525310
666,35.30,525668
701,33.56,531687
734,3.53,433611
706,0.01,404413
678,3.98,413106
671,16.61,446822
685,13.94,443557
682,7.11,424890
671,10.79,429671
674,14.99,441891
680,11.22,434343
674,10.81,430822
674,13.40,437585
676,12.40,435732
675,11.50,433263
674,12.88,436231
675,12.50,435848
675,12.44,435389
675,12.22,434976
674,12.80,436178
675,12.98,436944
675,12.54,435952
674,12.56,435409
676,13.45,438475
676,11.52,433762
674,12.16,434363
675,13.12,437157
676,12.54,436243
674,11.79,433530
674,13.12,436855
676,12.34,435734
674,12.52,435450
675,12.84,436579
675,12.34,435431
675,12.06,434715
674,12.92,436488
675,12.66,436260
675,12.28,434980
675,12.78,436430
675,13.04,436951
676,12.72,436560
676,11.68,434168
674,11.49,432760
674,13.72,438270
674,13.11,436818
665,15.35,439703
623,26.90,467495
617,40.37,531940
621,42.58,545402
608,46.05,558863
617,55.62,609219
633,54.75,611496
613,60.41,629137
618,66.74,652887
639,66.46,661196
650,77.48,708453
651,77.96,710786
658,81.02,724787
666,80.44,725452
674,80.56,728620
678,81.27,732630
683,82.23,738131
689,83.30,744189
694,83.82,747902
700,84.46,752532
705,85.12,757194
714,85.68,762703
722,85.48,764417
726,84.96,763814
730,84.48,763201
733,83.78,761220
737,83.42,760798
738,82.94,759321
740,82.18,756600
743,81.28,753591
742,80.80,751135
743,81.16,752833
748,80.65,752225
753,78.84,749358
753,78.08,746886
756,77.51,748973
761,75.96,749666
758,75.68,745354
761,75.90,749123
770,72.51,747363
770,68.14,730742
767,70.65,737160
774,69.17,738429
777,63.88,721261
778,64.35,724346
778,62.27,716425
777,63.36,720212
788,59.90,720430
789,51.17,691178
783,56.05,700123
790,55.32,706898
795,49.64,693992
798,47.11,685816
795,45.47,672801
797,46.48,681470
802,40.21,655770
792,41.62,648579
803,44.55,679084
810,35.63,641800
800,39.39,647888
803,40.47,658292
801,39.21,648043
810,38.03,653933
804,34.27,625625
801,40.76,656302
812,36.02,645937
800,36.32,632105
802,41.21,660705
806,37.42,645089
808,37.54,648770
809,34.75,635071
801,38.88,646846
813,36.32,649526
799,33.39,614704
807,40.26,663012
812,32.54,626897
803,38.13,644934
817,34.43,643521
796,36.09,624975
807,44.27,684140
811,29.96,612225
800,39.87,651075
814,35.90,648726
800,35.95,629746
810,38.98,660206
810,30.07,611039
804,38.45,648679
816,34.70,644592
806,34.28,628250
813,36.51,650182
807,31.44,614297
806,39.15,655111
821,32.11,636364
800,33.51,617240
806,40.51,662341
814,31.24,623112
807,34.00,629110
809,35.93,642044
808,35.18,636073
816,34.78,645161
814,28.74,608354
800,37.86,639954
815,37.74,660064
816,29.15,612704
813,32.04,626055
806,32.05,616662
808,37.67,649660
820,30.93,628854
809,31.78,618541
811,35.73,642976
813,32.53,628334
811,33.52,630870
810,33.53,629447
809,34.10,631701
814,32.59,630556
809,31.68,618914
808,35.79,639912
817,33.00,635760
814,31.13,622487
808,34.26,631016
808,36.45,642925
812,35.47,643627
817,33.05,636974
813,32.12,626006
806,37.83,648341
811,38.43,657758
814,35.71,646832
813,36.68,650719
815,36.75,654587
813,36.01,648018
816,36.71,654857
813,36.17,647890
815,38.59,663867
822,34.07,648943
813,34.86,640782
818,36.96,659792
815,32.07,628694
814,38.81,664028
822,34.10,648613
813,37.27,654743
832,33.30,655506
821,33.39,643048
804,34.25,625723
817,34.96,646571
840,35.28,675622
823,35.04,655258
804,35.29,631382
823,35.86,659871
836,35.78,674089
820,35.54,654759
812,35.72,644658
828,35.98,666987
828,35.84,666076
819,35.72,654469
824,35.82,660966
825,35.78,661711
824,35.76,660172
827,35.74,664376
825,35.64,660900
822,35.64,658097
832,35.64,669446
831,35.46,666621
815,35.42,646923
826,35.72,662506
841,35.64,678840
821,35.24,654519
810,35.48,640473
830,35.82,668258
843,35.56,680380
822,35.16,654609
814,35.34,645166
834,35.62,670573
835,35.38,670607
822,35.26,655950
831,35.40,666142
835,35.28,670022
822,35.20,655070
828,35.36,662829
840,35.30,675787
831,34.98,663991
824,35.14,656915
840,35.40,676152
843,35.20,677913
826,35.08,659060
825,35.36,659703
845,35.47,682230
848,35.06,683053
829,34.84,660806
822,35.16,654602
841,35.38,676927
850,35.18,685043
837,34.82,669062
830,34.90,662190
840,35.08,673883
841,34.96,675048
834,34.86,666700
842,34.88,674763
847,34.68,678893
832,34.50,662859
828,34.64,658453
