Speed;q;p
1150;93.34;1225455
1147;93.34;1224457
1144;93.38;1223378
1147;93.34;1224274
1149;93.34;1225060
1146;93.34;1223830
1144;93.42;1223536
1147;93.42;1224984
1148;93.38;1224839
1144;93.40;1223484
1145;93.46;1224160
1146;93.42;1224484
1144;93.48;1224192
1144;93.44;1223715
1145;93.42;1223973
1143;93.48;1223721
1142;93.52;1223325
1145;93.52;1224658
1143;93.46;1223627
1139;93.56;1222359
1142;93.56;1223709
1144;93.52;1224230
1140;93.56;1222916
1141;93.60;1223793
1144;93.50;1223990
1139;93.60;1222832
1138;93.68;1222951
1143;93.56;1224315
1142;93.56;1223737
1136;93.66;1221868
1138;93.72;1223117
1142;93.60;1224099
1138;93.64;1222484
1136;93.74;1222631
1141;93.70;1224338
1140;93.64;1223561
1136;93.72;1222212
1137;93.74;1223087
1140;93.68;1223686
1134;93.72;1221369
1134;93.84;1222548
1139;93.70;1223391
1134;93.80;1222036
1132;93.84;1221716
1137;93.78;1223386
1135;93.84;1222719
1132;93.86;1221641
1134;93.82;1222336
1133;93.84;1222113
1132;93.90;1221788
1133;93.92;1222753
1135;93.90;1223434
1132;93.94;1222172
1130;94.00;1221993
1133;93.94;1222586
1130;93.96;1221411
1130;94.04;1222035
1135;93.96;1223676
1133;94.02;1223311
1127;94.16;1221781
1130;94.20;1223407
1134;94.14;1224641
1129;94.20;1222720
1127;94.28;1222691
1132;94.20;1224324
1131;94.24;1224067
1125;94.38;1222584
1128;94.44;1224196
1130;94.34;1224491
1127;94.48;1224177
1128;94.54;1225087
1130;94.48;1225297
1127;94.48;1223905
1127;94.46;1224090
1129;94.38;1224211
1126;94.40;1222911
1125;94.58;1223880
1130;94.52;1225682
1126;94.46;1223680
1125;94.60;1223998
1129;94.42;1224521
1126;94.42;1223266
1123;94.62;1223383
1127;94.64;1225430
1128;94.66;1225879
1122;94.78;1224259
1123;94.96;1225711
1129;94.82;1227363
1125;94.82;1225587
1119;95.08;1225045
1124;95.02;1226717
1126;94.88;1226442
1122;95.22;1227357
1124;95.90;1233085
1125;96.14;1235375
1120;96.54;1235992
1121;96.92;1239267
1125;96.88;1240892
1122;97.00;1240290
1122;97.24;1241955
1124;97.22;1243005
1122;97.20;1241829
1120;97.34;1241960
1124;97.38;1244043
1123;97.26;1242579
1118;97.42;1241232
1122;97.50;1243674
1124;97.30;1243329
1118;97.50;1241678
1120;97.50;1243114
1123;97.30;1243084
1118;97.48;1241781
1119;97.56;1242707
1123;97.34;1242978
1118;97.42;1241398
1118;97.60;1242689
1123;97.44;1243817
1119;97.40;1241526
1114;97.66;1241205
1120;97.66;1244217
1123;97.64;1245508
1118;97.86;1244371
1117;98.16;1246313
1121;98.00;1247118
1118;98.22;1247228
1119;98.52;1249710
1120;98.48;1250068
1117;98.82;1250963
1117;98.88;1251551
1121;98.70;1252125
1118;98.94;1252292
1116;99.10;1252485
1121;98.92;1253759
1121;98.86;1253373
1115;99.08;1251704
1117;99.12;1253182
1123;98.86;1254023
1116;98.98;1251705
1116;99.22;1253488
1122;98.96;1254375
1118;98.94;1252295
1116;99.16;1253122
1120;99.10;1254602
1119;99.00;1253027
1117;99.16;1253640
1120;99.14;1254865
1121;99.08;1254620
1118;99.24;1254737
1120;99.30;1255941
1121;99.22;1256042
1117;99.30;1254647
1120;99.34;1256201
1124;99.06;1256357
1118;99.18;1254120
1119;99.36;1255825
1124;99.14;1256732
1120;99.08;1254370
1120;99.32;1256035
1123;99.34;1257581
1121;99.34;1256521
1120;99.44;1257127
1123;99.52;1259034
1123;99.50;1258981
1121;99.62;1258523
1123;99.72;1260636
1126;99.60;1261156
1121;99.68;1259009
1121;99.86;1260536
1127;99.66;1262191
1124;99.58;1260024
1121;99.72;1259315
1126;99.70;1261815
1128;99.52;1261398
1123;99.60;1259701
1125;99.74;1261532
1129;99.60;1262522
1127;99.60;1261708
1126;99.70;1262116
1129;99.62;1262911
1127;99.60;1261914
1127;99.66;1262264
1129;99.62;1262962
1127;99.60;1261653
1128;99.72;1262879
1132;99.84;1265949
1130;99.96;1265685
1128;100.22;1266340
1132;100.48;1270066
1133;100.60;1271370
1129;100.80;1270443
1132;100.94;1272662
1135;101.30;1276748
1132;101.80;1278228
1131;102.32;1280851
1136;102.58;1284781
1135;102.80;1285744
1134;103.02;1286231
1136;103.14;1287909
1138;103.18;1289141
1134;103.30;1287984
1135;103.42;1289354
1141;103.32;1291636
1137;103.40;1290427
1135;103.46;1289697
1141;103.38;1291876
1142;103.44;1293017
1137;103.50;1290654
1139;103.58;1292305
1146;103.52;1295178
1143;103.76;1295353
1139;104.20;1295909
1143;104.38;1298812
1145;104.48;1300614
1144;104.64;1301314
1146;104.68;1302478
1147;104.84;1303548
1145;104.92;1303269
1147;104.96;1304428
1150;105.02;1306259
1149;105.12;1306504
1148;105.28;1306769
1150;105.22;1307444
1151;105.14;1307646
1150;105.28;1307655
1152;105.30;1309128
1154;105.36;1310219
1152;105.42;1309891
1153;105.40;1309859
1156;105.38;1311571
1158;105.36;1312027
1155;105.42;1311192
1157;105.50;1312498
1160;105.44;1313747
1157;105.54;1312935
1157;105.52;1312513
1163;105.46;1315165
1163;105.40;1315062
1160;105.46;1313965
1162;105.48;1314967
1164;105.46;1315718
1163;105.26;1314230
1163;105.36;1314526
1165;105.34;1315330
1168;105.28;1316452
1167;105.34;1316385
1166;105.42;1316515
1169;105.42;1317969
1170;105.38;1318108
1169;105.42;1317755
1170;105.40;1318439
1172;105.42;1319425
1171;105.42;1318892
1173;105.40;1319939
1175;105.38;1320512
1174;105.38;1320144
1175;105.36;1320400
1177;105.36;1321713
1177;105.34;1321400
1176;105.38;1321330
1180;105.32;1322971
1182;105.30;1323540
1180;105.30;1322707
1180;105.28;1322472
1184;105.04;1322996
1184;104.84;1322180
1183;104.74;1320902
1182;104.74;1320611
1187;104.66;1322436
1191;104.54;1323503
1188;104.54;1322037
1188;104.54;1322204
1191;104.54;1323940
1192;104.50;1323931
1191;104.46;1323196
1190;104.46;1322993
1193;104.44;1324023
1196;104.36;1324953
1196;104.38;1325354
1196;104.36;1325191
1197;102.78;1316714
1198;97.08;1276932
1196;66.35;1024006
1197;47.02;941350
1195;35.86;887389
1195;22.41;814593
1197;15.44;781934
1189;9.60;750215
1178;2.05;708430
1187;0.00;702785
1197;0.00;707356
1192;0.00;704967
1196;0.00;706811
1191;0.00;704423
1195;0.00;706493
1192;0.00;705125
1192;0.00;705235
1193;0.00;705665
1188;0.00;703025
1190;0.00;703996
1190;0.00;704059
1191;0.00;704377
1187;0.00;702676
1186;0.00;702340
1190;0.00;704218
1189;0.00;703630
1184;0.00;701307
1184;0.00;701259
1186;0.00;702341
1186;0.00;702293
1185;0.00;701625
1184;0.00;701371
1184;0.00;701180
1184;0.00;701561
1184;0.00;701323
1183;0.00;700909
1182;0.00;700448
1182;0.00;700352
1183;0.00;701020
1183;0.00;700909
1179;0.00;699096
1180;0.00;699603
1183;0.00;700957
1181;0.00;699891
1179;0.00;699127
1180;0.00;699604
1181;0.00;700113
1179;0.00;699144
1178;0.00;698523
1182;0.00;700623
1180;0.00;699575
1178;0.00;698316
1179;0.00;698968
1181;0.06;700387
1180;0.28;700938
1176;0.66;700636
1180;1.20;705420
1182;3.03;715353
1178;6.69;731094
1178;9.70;746061
1180;12.02;758397
1185;15.77;778452
1190;17.59;789599
1186;19.02;794612
1174;20.08;795209
1181;22.65;810701
1184;23.60;816354
1181;24.82;820921
1184;25.54;825924
1179;26.68;829368
1183;27.18;833302
1182;27.70;835527
1183;27.98;837178
1184;28.44;839782
1183;28.76;841133
1186;28.96;843143
1184;29.22;843537
1184;29.46;844971
1187;29.84;847924
1189;30.16;850134
1186;30.60;851875
1186;31.14;854902
1191;31.32;857971
1190;31.44;858274
1186;31.70;858536
1189;31.86;860541
1192;31.96;862335
1192;32.14;863220
1190;32.52;864728
1191;32.84;867101
1194;33.04;869565
1194;33.46;872417
1191;33.70;872575
1195;33.88;875148
1197;34.26;878570
1195;34.58;879462
1195;34.82;881109
1198;35.32;885182
1200;35.72;888598
1196;36.22;889882
1196;36.95;894428
1200;37.30;898535
1199;37.54;899524
1198;37.70;900141
1199;37.84;901660
1201;38.00;903268
1201;38.12;904396
1200;38.24;904265
1202;38.28;905893
1206;38.32;908080
1202;38.42;906920
1201;38.46;906577
1206;38.74;911058
1208;38.78;912341
1204;38.74;909897
1202;36.48;894685
1205;28.56;848311
1207;21.68;816166
1201;12.74;770702
1190;8.20;744042
1197;5.46;733681
1216;1.71;725218
1199;0.00;708179
1203;0.00;710483
1209;0.00;713144
1205;0.00;711287
1204;0.00;711057
1205;0.00;711478
1204;0.00;710604
1207;0.00;712450
1204;0.00;710762
1206;0.00;711649
1204;0.00;711007
1204;0.00;710797
1205;0.00;711354
1204;0.00;711059
1204;0.00;710675
1205;0.00;711145
1204;0.00;711041
1204;0.00;710730
1202;0.00;709894
1204;0.00;710693
1205;0.00;711320
