Speed,q
672,33.86
690,34.16
708,33.76
693,32.90
677,32.62
693,32.48
704,31.04
698,29.60
693,26.90
695,20.99
694,14.65
687,8.36
671,5.02
658,8.15
706,3.36
710,1.94
686,1.46
669,1.28
683,1.66
690,0.62
681,0.46
678,0.34
673,0.24
666,1.62
674,2.66
676,0.19
656,5.35
662,13.90
676,3.73
658,7.92
660,17.71
674,12.08
668,10.27
665,14.19
669,16.80
664,14.84
648,25.43
673,28.38
651,20.81
648,35.80
677,34.11
660,27.58
652,36.52
675,34.87
672,32.43
667,34.84
671,34.80
666,35.30
701,33.56
734,3.53
706,0.01
678,3.98
671,16.61
685,13.94
682,7.11
671,10.79
674,14.99
680,11.22
674,10.81
674,13.40
676,12.40
675,11.50
674,12.88
675,12.50
675,12.44
675,12.22
674,12.80
675,12.98
675,12.54
674,12.56
676,13.45
676,11.52
674,12.16
675,13.12
676,12.54
674,11.79
674,13.12
676,12.34
674,12.52
675,12.84
675,12.34
675,12.06
674,12.92
675,12.66
675,12.28
675,12.78
675,13.04
676,12.72
676,11.68
674,11.49
674,13.72
674,13.11
665,15.35
623,26.90
617,40.37
621,42.58
608,46.05
617,55.62
633,54.75
613,60.41
618,66.74
639,66.46
650,77.48
651,77.96
658,81.02
666,80.44
674,80.56
678,81.27
683,82.23
689,83.30
694,83.82
700,84.46
705,85.12
714,85.68
722,85.48
726,84.96
730,84.48
733,83.78
737,83.42
738,82.94
740,82.18
743,81.28
742,80.80
743,81.16
748,80.65
753,78.84
753,78.08
756,77.51
761,75.96
758,75.68
761,75.90
770,72.51
770,68.14
767,70.65
774,69.17
777,63.88
778,64.35
778,62.27
777,63.36
788,59.90
789,51.17
783,56.05
790,55.32
795,49.64
798,47.11
795,45.47
797,46.48
802,40.21
792,41.62
803,44.55
810,35.63
800,39.39
803,40.47
801,39.21
810,38.03
804,34.27
801,40.76
812,36.02
800,36.32
802,41.21
806,37.42
808,37.54
809,34.75
801,38.88
813,36.32
799,33.39
807,40.26
812,32.54
803,38.13
817,34.43
796,36.09
807,44.27
811,29.96
800,39.87
814,35.90
800,35.95
810,38.98
810,30.07
804,38.45
816,34.70
806,34.28
813,36.51
807,31.44
806,39.15
821,32.11
800,33.51
806,40.51
814,31.24
807,34.00
809,35.93
808,35.18
816,34.78
814,28.74
800,37.86
815,37.74
816,29.15
813,32.04
806,32.05
808,37.67
820,30.93
809,31.78
811,35.73
813,32.53
811,33.52
810,33.53
809,34.10
814,32.59
809,31.68
808,35.79
817,33.00
814,31.13
808,34.26
808,36.45
812,35.47
817,33.05
813,32.12
806,37.83
811,38.43
814,35.71
813,36.68
815,36.75
813,36.01
816,36.71
813,36.17
815,38.59
822,34.07
813,34.86
818,36.96
815,32.07
814,38.81
822,34.10
813,37.27
832,33.30
821,33.39
804,34.25
817,34.96
840,35.28
823,35.04
804,35.29
823,35.86
836,35.78
820,35.54
812,35.72
828,35.98
828,35.84
819,35.72
824,35.82
825,35.78
824,35.76
827,35.74
825,35.64
822,35.64
832,35.64
831,35.46
815,35.42
826,35.72
841,35.64
821,35.24
810,35.48
830,35.82
843,35.56
822,35.16
814,35.34
834,35.62
835,35.38
822,35.26
831,35.40
835,35.28
822,35.20
828,35.36
840,35.30
831,34.98
824,35.14
840,35.40
843,35.20
826,35.08
825,35.36
845,35.47
848,35.06
829,34.84
822,35.16
841,35.38
850,35.18
837,34.82
830,34.90
840,35.08
841,34.96
834,34.86
842,34.88
847,34.68
832,34.50
828,34.64
847,34.71
848,34.36
831,34.10
835,34.30
847,34.13
838,33.76
832,33.66
851,33.59
847,33.08
824,33.01
837,33.42
859,33.13
832,32.72
826,33.02
853,33.21
848,32.76
826,32.74
837,32.94
851,32.61
838,32.18
832,32.20
842,32.32
846,32.06
836,31.92
836,32.04
843,32.10
840,31.96
835,31.98
834,32.06
836,32.16
838,32.16
827,32.19
818,32.57
842,32.87
858,32.53
828,31.97
810,32.47
840,32.89
864,32.45
835,31.76
819,32.09
840,32.43
850,32.12
831,31.87
830,32.20
846,32.30
838,32.06
827,32.12
841,32.30
849,32.08
835,31.86
833,32.08
845,32.16
842,31.92
833,31.94
841,32.08
848,31.96
837,31.74
830,31.92
832,32.08
844,32.12
856,31.87
841,31.42
814,31.53
830,32.08
858,31.99
843,31.38
819,31.49
830,32.08
844,32.12
832,32.07
831,32.55
847,33.11
842,33.81
822,34.54
829,35.69
856,36.20
844,36.14
822,36.37
832,37.07
856,37.48
843,37.51
825,37.95
846,38.60
857,38.72
829,38.69
826,39.19
855,39.68
856,39.42
831,39.19
834,39.52
855,39.79
851,39.48
836,39.34
843,39.54
857,39.68
853,39.76
840,39.91
844,40.32
854,41.17
858,42.81
854,44.26
847,45.18
849,46.23
858,46.93
864,47.20
859,47.32
854,47.44
858,47.68
867,47.74
869,47.58
865,47.44
864,47.46
869,47.34
875,47.19
878,46.89
876,46.62
875,46.54
881,46.42
887,46.31
886,45.94
884,45.72
890,45.64
890,45.44
892,45.32
896,45.12
894,45.02
894,44.90
904,44.69
900,42.14
886,32.19
915,22.72
939,14.24
939,9.43
927,5.87
907,3.56
880,2.59
849,0.00
818,0.00
786,0.00
754,0.00
717,0.00
683,0.06
652,3.20
641,14.43
659,22.15
675,13.94
672,8.37
666,13.59
672,14.79
675,12.39
673,11.83
672,12.98
675,13.12
675,12.35
674,12.04
674,12.92
675,12.87
675,12.63
675,12.21
674,12.66
676,12.84
675,12.62
675,12.63
674,13.03
676,12.51
674,12.90
675,12.84
674,12.78
676,12.76
