Speed,q
1150,93.34
1147,93.34
1144,93.38
1147,93.34
1149,93.34
1146,93.34
1144,93.42
1147,93.42
1148,93.38
1144,93.40
1145,93.46
1146,93.42
1144,93.48
1144,93.44
1145,93.42
1143,93.48
1142,93.52
1145,93.52
1143,93.46
1139,93.56
1142,93.56
1144,93.52
1140,93.56
1141,93.60
1144,93.50
1139,93.60
1138,93.68
1143,93.56
1142,93.56
1136,93.66
1138,93.72
1142,93.60
1138,93.64
1136,93.74
1141,93.70
1140,93.64
1136,93.72
1137,93.74
1140,93.68
1134,93.72
1134,93.84
1139,93.70
1134,93.80
1132,93.84
1137,93.78
1135,93.84
1132,93.86
1134,93.82
1133,93.84
1132,93.90
1133,93.92
1135,93.90
1132,93.94
1130,94.00
1133,93.94
1130,93.96
1130,94.04
1135,93.96
1133,94.02
1127,94.16
1130,94.20
1134,94.14
1129,94.20
1127,94.28
1132,94.20
1131,94.24
1125,94.38
1128,94.44
1130,94.34
1127,94.48
1128,94.54
1130,94.48
1127,94.48
1127,94.46
1129,94.38
1126,94.40
1125,94.58
1130,94.52
1126,94.46
1125,94.60
1129,94.42
1126,94.42
1123,94.62
1127,94.64
1128,94.66
1122,94.78
1123,94.96
1129,94.82
1125,94.82
1119,95.08
1124,95.02
1126,94.88
1122,95.22
1124,95.90
1125,96.14
1120,96.54
1121,96.92
1125,96.88
1122,97.00
1122,97.24
1124,97.22
1122,97.20
1120,97.34
1124,97.38
1123,97.26
1118,97.42
1122,97.50
1124,97.30
1118,97.50
1120,97.50
1123,97.30
1118,97.48
1119,97.56
1123,97.34
1118,97.42
1118,97.60
1123,97.44
1119,97.40
1114,97.66
1120,97.66
1123,97.64
1118,97.86
1117,98.16
1121,98.00
1118,98.22
1119,98.52
1120,98.48
1117,98.82
1117,98.88
1121,98.70
1118,98.94
1116,99.10
1121,98.92
1121,98.86
1115,99.08
1117,99.12
1123,98.86
1116,98.98
1116,99.22
1122,98.96
1118,98.94
1116,99.16
1120,99.10
1119,99.00
1117,99.16
1120,99.14
1121,99.08
1118,99.24
1120,99.30
1121,99.22
1117,99.30
1120,99.34
1124,99.06
1118,99.18
1119,99.36
1124,99.14
1120,99.08
1120,99.32
1123,99.34
1121,99.34
1120,99.44
1123,99.52
1123,99.50
1121,99.62
1123,99.72
1126,99.60
1121,99.68
1121,99.86
1127,99.66
1124,99.58
1121,99.72
1126,99.70
1128,99.52
1123,99.60
1125,99.74
1129,99.60
1127,99.60
1126,99.70
1129,99.62
1127,99.60
1127,99.66
1129,99.62
1127,99.60
1128,99.72
1132,99.84
1130,99.96
1128,100.22
1132,100.48
1133,100.60
1129,100.80
1132,100.94
1135,101.30
1132,101.80
1131,102.32
1136,102.58
1135,102.80
1134,103.02
1136,103.14
1138,103.18
1134,103.30
1135,103.42
1141,103.32
1137,103.40
1135,103.46
1141,103.38
1142,103.44
1137,103.50
1139,103.58
1146,103.52
1143,103.76
1139,104.20
1143,104.38
1145,104.48
1144,104.64
1146,104.68
1147,104.84
1145,104.92
1147,104.96
1150,105.02
1149,105.12
1148,105.28
1150,105.22
1151,105.14
1150,105.28
1152,105.30
1154,105.36
1152,105.42
1153,105.40
1156,105.38
1158,105.36
1155,105.42
1157,105.50
1160,105.44
1157,105.54
1157,105.52
1163,105.46
1163,105.40
1160,105.46
1162,105.48
